ingredient_name,common_alias_names,category,safety_status,reason,simple_explanation,allergen,safe_frequency_per_week,source_reference
Citric Acid,"INS 330, E330, Citric Acid",ingredient,safe,Natural souring agent and preservative.,An acid naturally found in citrus fruits like lemons and limes. It is used in foods to add a tart or sour taste and acts as a natural preservative to keep food fresh.,none,no limit,FSSAI
Sodium Benzoate,"INS 211, E211, Sodium Benzoate",additive,moderate,Synthetic chemical preservative. Can form benzene when combined with Vitamin C.,A chemical preservative made in a lab to stop mold and bacteria from growing in acidic foods like sodas and pickles. It helps extend shelf life.,none,3 times/week,WHO
Potassium Sorbate,"INS 202, E202, Potassium Sorbate",additive,safe,Standard food preservative to prevent mold.,"A lab-made salt that stops mold and yeast from growing in cheese, wine, and yogurt. It breaks down naturally in our body just like fatty acids.",none,no limit,WHO
Monosodium Glutamate,"MSG, INS 621, E621, Glutamate, Monosodium Glutamate",additive,moderate,Flavor enhancer. May cause sensitivity or headaches in some individuals.,"A sodium salt of a common amino acid. It adds a savory, meaty flavor (umami) to foods. It occurs naturally in cheese and tomatoes but is added to chips and soups to boost taste.",none,3 times/week,FSSAI
Soy Lecithin,"INS 322, E322, Soy Lecithin",ingredient,safe,Emulsifier extracted from soybeans.,"A natural fat extracted from soybeans. It acts as an emulsifier, which helps mix water and oil together so ingredients do not separate in chocolate or salad dressings.",soy,no limit,FSSAI
Guar Gum,"INS 412, E412, Guar Gum",ingredient,safe,Natural thickener from guar beans.,"A natural powder made from guar beans. It is used to thicken foods and make textures smooth, like in ice creams and sauces.",none,no limit,FSSAI
Xanthan Gum,"INS 415, E415, Xanthan Gum",ingredient,safe,Thickener created by fermenting sugar.,"A natural thickener made by fermenting sugars with a specific bacteria. It gives a thick, uniform texture to salad dressings and gluten-free baking.",none,no limit,FSSAI
Carrageenan,"INS 407, E407, Carrageenan",additive,moderate,Thickener from seaweed. May cause mild digestive inflammation in sensitive people.,"A gel extracted from red seaweed. It is used to thicken and stabilize dairy and plant-based milks, but it can occasionally cause stomach upset in some people.",none,3 times/week,WHO
Aspartame,"INS 951, E951, Aspartame",additive,moderate,Artificial sweetener. Contains phenylalanine (hazardous for PKU patients).,"An artificial sweetener made in a lab. It is 200 times sweeter than sugar and used in diet sodas. It provides a sweet taste without calories, but should be avoided by people with the rare genetic condition PKU.",none,5 times/week,WHO
Acesulfame Potassium,"Acesulfame K, INS 950, E950, Acesulfame Potassium",additive,moderate,Artificial zero-calorie sweetener.,A calorie-free sugar substitute made in a lab. It is 200 times sweeter than sugar and is often blended with other sweeteners to mask bitter aftertastes in diet sodas.,none,5 times/week,WHO
High Fructose Corn Syrup,"HFCS, High Fructose Corn Syrup",ingredient,unsafe,Highly processed sweetener. Strongly linked to obesity and diabetes.,"A highly sweet syrup made from corn starch. It is cheap and heavily used in processed foods, but eating too much of it can lead to weight gain, liver fat, and diabetes.",none,avoid,WHO
Tartrazine,"INS 102, E102, Yellow 5, Tartrazine",additive,unsafe,Synthetic yellow food dye. Linked to hyperactivity in children.,"A bright yellow artificial food coloring made from petroleum. It is used in candies and sodas. In some children, it has been linked to hyperactivity and mild allergic reactions.",none,avoid,WHO
Sunset Yellow FCF,"INS 110, E110, Yellow 6, Sunset Yellow FCF",additive,unsafe,Synthetic orange food dye. Linked to hyperactivity in children.,"An artificial orange food coloring. Used to make snacks and sodas look bright, but regulated or restricted in some countries due to potential hyperactivity links in kids.",none,avoid,FSSAI
Brilliant Blue FCF,"INS 133, E133, Blue 1, Brilliant Blue FCF",additive,unsafe,Synthetic blue food dye.,"A bright blue artificial food coloring made from petroleum. Used in blue candies, drinks, and ice creams. Regulated in quantity as it does not occur in nature.",none,avoid,FSSAI
Caramel Color,"INS 150a, INS 150d, E150, Caramel Color",additive,moderate,Ammonia-sulfite processed coloring. Contains trace 4-MEI in some classes.,A dark brown food coloring made by heating carbohydrates (sugars) under controlled chemistry. Class III and IV varieties use ammonia or sulfites and are regulated in soft drinks.,none,3 times/week,FSSAI
Palm Oil,"Palm Oil, Refined Palm Oil",ingredient,moderate,High in saturated fats. Environmental concerns.,"A vegetable oil extracted from palm fruit. It is highly saturated, making it semi-solid at room temp and perfect for crispy cookies and long shelf life, but it raises LDL cholesterol.",none,3 times/week,ICMR
Hydrogenated Vegetable Oil,"Hydrogenated Vegetable Oil, Vanaspati, Trans Fat",ingredient,unsafe,Contains trans fats which raise harmful cholesterol and lower good cholesterol.,"Vegetable oil that has been chemically altered with hydrogen to turn it from liquid to solid. It creates trans fats, which are very bad for heart health and block arteries.",none,avoid,WHO
Maltodextrin,Maltodextrin,ingredient,moderate,High glycemic index starch derivative. Spikes blood sugar rapidly.,A processed white powder made from starch (like corn or rice). It is used as a filler or thickener in soups and snacks. It spikes blood sugar even faster than regular sugar.,none,3 times/week,ICMR
Polysorbate 80,"INS 433, E433, Polysorbate 80",additive,moderate,Synthetic emulsifier. May disrupt gut microbiome.,A synthetic emulsifier used to keep oils and water mixed in ice cream and cosmetics. Some studies suggest it might irritate the gut lining in sensitive stomachs.,none,2 times/week,WHO
Sodium Metabisulphite,"INS 223, E223, Sodium Metabisulphite",additive,unsafe,Sulfite preservative. Can trigger severe asthma in sensitive people.,"A chemical preservative and antioxidant used to prevent browning in dried fruits and juices. It releases sulfur dioxide, which can trigger severe allergic reactions in asthmatics.",none,avoid,WHO
BHA,"INS 320, E320, BHA, Butylated Hydroxyanisole",additive,unsafe,Synthetic antioxidant. Classified as a suspected endocrine disruptor and carcinogen.,A synthetic chemical added to fatty foods like chips and vegetable oils to stop them from going rancid. It is regulated because it is a suspected hormone disruptor.,none,avoid,WHO
BHT,"INS 321, E321, BHT, Butylated Hydroxytoluene",additive,unsafe,Synthetic antioxidant. Suspected endocrine disruptor.,"Similar to BHA, this is a lab-made preservative used to keep fats and cereals fresh. Some animal studies suggest high doses might impact hormones.",none,avoid,WHO
TBHQ,"INS 319, E319, TBHQ, Tertiary Butylhydroquinone",additive,unsafe,Synthetic food preservative for fats.,"A synthetic preservative used to prevent oxidation and spoilage in oils, instant noodles, and frozen foods. Restricted to very low concentrations globally.",none,avoid,FSSAI
Allura Red,"E129, Red 40, Allura Red",additive,unsafe,Synthetic red food dye. Linked to hyperactivity.,"A bright red food coloring made from petroleum. Widely used in candies, condiments, and soft drinks, but linked to hyperactivity in sensitive children.",none,avoid,FSSAI
Whey Protein Concentrate,"Whey Protein, Whey Protein Concentrate",ingredient,safe,Dairy protein byproduct.,"A protein-rich powder filtered from liquid whey, which is a byproduct of cheese-making. Great for muscle building, but contains dairy/lactose.",dairy,no limit,ICMR
Wheat Flour,"Maida, Refined Wheat Flour, Wheat Flour, Atta",ingredient,safe,Staple grain flour.,"Flour milled from wheat grains. Refined wheat flour (maida) has the outer fiber and germ removed, leaving mostly starch, which digests very quickly.",gluten,no limit,ICMR
Milk Solids,"Milk Solids, Dairy Solids",ingredient,safe,Dried milk components.,"The solid components left after removing water from milk (like proteins, lactose, and minerals). Used to enrich texture in chocolates and milk biscuits.",dairy,no limit,FSSAI
Cocoa Butter,Cocoa Butter,ingredient,safe,Natural fat from cocoa beans.,The natural creamy fat pressed out of cacao beans. It is what makes chocolate melt smoothly in the mouth and is highly stable.,none,no limit,FSSAI
Sucralose,"INS 955, E955, Sucralose",additive,moderate,Chlorinated artificial sweetener.,A zero-calorie sweetener made by chemically modifying sugar with chlorine so our body cannot digest it. It is 600 times sweeter than sugar and used in sugar-free snacks.,none,5 times/week,WHO
Erythritol,"INS 968, E968, Erythritol",ingredient,safe,Sugar alcohol sweetener.,"A natural sugar alcohol sweetener found in small amounts in fruits. It has almost zero calories, does not spike blood sugar, and is friendly on teeth.",none,no limit,WHO
Sodium Citrate,"INS 331, E331, Sodium Citrate",ingredient,safe,Acidity regulator from citric acid.,The sodium salt of citric acid. It acts as a buffer or souring agent in club sodas and gelatin desserts to control acidity and add a salty-sour punch.,none,no limit,FSSAI
Pectin,"INS 440, E440, Pectin",ingredient,safe,Natural soluble fiber from fruit peels.,"A natural soluble fiber found in fruit peels (especially apples and oranges). It is used as a gelling agent to thicken jams, jellies, and fruit spreads.",none,no limit,FSSAI
Phosphoric Acid,"INS 338, E338, Phosphoric Acid",additive,moderate,Acidifier in sodas. Excess intake can lower bone density.,"A strong chemical acid added to cola drinks to give them a sharp, tangy taste. High consumption can interfere with calcium absorption and affect bone strength.",none,2 times/week,WHO
Calcium Carbonate,"INS 170, E170, Calcium Carbonate",ingredient,safe,Natural mineral source and color.,"A natural mineral source of calcium (like chalk or limestone). Used in foods as an anticaking agent, white coloring, or calcium supplement.",none,no limit,FSSAI
Sodium Carboxymethyl Cellulose,"INS 466, E466, Cellulose Gum, Sodium Carboxymethyl Cellulose",additive,safe,Thickener derived from plant fiber.,A thickener made by chemically treating natural plant cellulose fiber. It creates a creamy body in milkshakes and ice creams.,none,no limit,FSSAI
Sorbitol,"INS 420, E420, Sorbitol",ingredient,moderate,Sugar alcohol sweetener. Can cause laxative effects in high doses.,"A sugar alcohol used as a low-calorie sweetener and moisture-holder in sugar-free gums. It is digested slowly, but eating too much can cause gas or diarrhea.",none,3 times/week,FSSAI
Glycerol,"INS 422, E422, Glycerol, Glycerin",ingredient,safe,Humectant and sweetener.,"A natural liquid sweet alcohol used to keep foods moist and soft, such as in energy bars and cake frostings. It is safe and digests like other carbohydrates.",none,no limit,FSSAI
Yeast Extract,Yeast Extract,ingredient,safe,Natural savory flavor enhancer.,A savory paste made by extracting the natural glutamates from yeast cells. It is used to add a rich savory flavor (like MSG) to chips and spreads.,none,no limit,FSSAI
Hydrolyzed Vegetable Protein,"HVP, Hydrolyzed Vegetable Protein",ingredient,moderate,Processed flavor enhancer. Contains bound MSG.,"A savory flavoring powder made by boiling soy, corn, or wheat proteins in acid to break them down. It contains natural MSG and is used to add meat-like flavor.",soy,3 times/week,FSSAI
Calcium Propionate,"INS 282, E282, Calcium Propionate",additive,safe,Mold inhibitor used in breads.,"A calcium salt made in a lab that is highly effective at stopping mold and bacteria from spoiling sliced bread and baked goods, keeping them fresh longer.",none,no limit,FSSAI
Ethyl Vanillin,Ethyl Vanillin,ingredient,safe,Concentrated artificial vanilla flavor.,"An artificial vanilla flavoring agent made in a lab. It smells and tastes like vanilla but is 3 times stronger than natural vanillin, so very tiny amounts are used.",none,no limit,FSSAI
Dextrose,Dextrose,ingredient,moderate,Simple corn sugar. Spikes blood sugar rapidly.,"A simple sugar chemically identical to blood glucose. Milled from corn starch, it is highly sweet and quickly absorbed by the body, raising blood sugar levels rapidly.",none,3 times/week,ICMR
Invert Sugar Syrup,"Invert Sugar, Invert Sugar Syrup",ingredient,moderate,Sweetener syrup that holds moisture.,"A liquid mixture of glucose and fructose made by breaking down regular table sugar. It is sweeter than sugar, holds moisture, and keeps cookies soft.",none,3 times/week,ICMR
Malic Acid,"INS 296, E296, Malic Acid",ingredient,safe,Natural souring agent found in apples.,"An organic acid naturally found in apples and other tart fruits. It is used to add a sharp, sour fruit flavor to candies, drinks, and snacks.",none,no limit,FSSAI
